講義コード,講義名,講義名（英語）,科目種別コード,科目コード,科目名,分野系列コード,分野系列名,単位数,講義期間コード,講義期間,履修年度,開講所属コード,開講所属
24532204,Language and Society in Japan,Language and Society in Japan,,,,015720,オープン科目,2,10,前期,2024,001,基幹教育科目
24532205,Modern History of Japan Ⅱ,Modern History of Japan Ⅱ,,,,015720,オープン科目,2,10,前期,2024,001,基幹教育科目
24532215,微分積分学Ⅰ,Calculus Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24532216,入門線形代数Ⅰ,Introduction to Linear Algebra Ⅰ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24532217,入門線形代数Ⅱ,Introduction to Linear Algebra Ⅱ,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24532218,数理統計学,Mathematical Statistics,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24532219,現代物理学基礎,Elements of modern physics,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24532220,現代物理学基礎,Elements of modern physics,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24532221,集団生物学,Basic Population Biology,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24532222,宇宙科学概論,Cosmic Science,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24532223,空間表現実習Ⅰ,General Principles of Technical Drawings I,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24532224,プログラミング演習(P),Computer Programming Exercise,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24532225,プログラミング演習(P),Computer Programming Exercise,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24532226,プログラミング演習(P),Computer Programming Exercise,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24532227,プログラミング演習(P),Computer Programming Exercise,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24532228,プログラミング演習(P),Computer Programming Exercise,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24532229,プログラミング演習(P),Computer Programming Exercise,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24532230,自然科学総合実験,Natural Science Experiments,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24532241,漢方医薬学,Kampo Medicine,,,,015800,高年次基幹教育科目,1,13,春学期,2024,001,基幹教育科目
24532242,インフォームドコンセント,Informed consent,,,,015800,高年次基幹教育科目,1,14,夏学期,2024,001,基幹教育科目
24532244,学術英語・アカデミックイシューズ,Academic English: Academic Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532245,学術英語・グローバルイシューズ,Academic English: Global Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532246,学術英語・グローバルイシューズ,Academic English: Global Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532247,学術英語・グローバルイシューズ,Academic English: Global Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532248,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532249,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532250,学術英語・スキルベース,Academic English: Skill-Based,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532251,学術英語・スキルベース,Academic English: Skill-Based,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532252,ドイツ語ⅠA,GermanⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532253,ドイツ語ⅠB,GermanⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532254,フランス語ⅠA,French ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532255,フランス語ⅠB,French ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532256,中国語ⅠA,Chinese ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532257,中国語ⅠA,Chinese ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532258,中国語ⅠA,Chinese ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532259,中国語ⅠA,Chinese ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532260,中国語ⅠB,Chinese ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532261,中国語ⅠB,Chinese ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532262,中国語ⅠB,Chinese ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532263,韓国語ⅠA,Korean ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532264,韓国語ⅠB,Korean ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532265,スペイン語ⅠA,Spanish ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532266,スペイン語ⅠA,Spanish ⅠA,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532267,スペイン語ⅠB,Spanish ⅠB,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532280,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24532281,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24532282,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24532283,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24532301,サイバーセキュリティ基礎論,Primary Course of Cyber Security - How to Survive  the Cyber,,,,015900,サイバーセキュリティ科目,1,13,春学期,2024,001,基幹教育科目
24532302,サイバーセキュリティ基礎論,Primary Course of Cyber Security - How to Survive  the Cyber,,,,015900,サイバーセキュリティ科目,1,13,春学期,2024,001,基幹教育科目
24532303,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532304,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532305,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532306,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532307,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532308,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532309,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532310,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532311,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532312,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532313,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532314,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532315,微分積分学Ⅰ,Calculus Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24532316,微分積分学Ⅰ,Calculus Ⅰ,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24532317,入門線形代数Ⅰ,Introduction to Linear Algebra Ⅰ,,,,015500,理系ディシプリン科目,1,13,春学期,2024,001,基幹教育科目
24532318,入門線形代数Ⅱ,Introduction to Linear Algebra Ⅱ,,,,015500,理系ディシプリン科目,1,14,夏学期,2024,001,基幹教育科目
24532319,数理統計学,Mathematical Statistics,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24532320,細胞生物学,Basic Cell Biology,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24532321,細胞生物学,Basic Cell Biology,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24532322,集団生物学,Basic Population Biology,,,,015500,理系ディシプリン科目,2,10,前期,2024,001,基幹教育科目
24532323,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532324,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532325,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532326,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532327,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532328,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532329,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532330,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532331,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532344,学術英語・グローバルイシューズ,Academic English: Global Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532345,学術英語・グローバルイシューズ,Academic English: Global Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532346,学術英語・グローバルイシューズ,Academic English: Global Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532347,学術英語・グローバルイシューズ,Academic English: Global Issues,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532348,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532349,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532350,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532351,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532352,学術英語・プロダクション２,Academic English: Production 2,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532353,学術英語・プロダクション２,Academic English: Production 2,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532354,学術英語・プロダクション２,Academic English: Production 2,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532355,学術英語・プロダクション２,Academic English: Production 2,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532356,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532357,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532358,学術英語・スキルベース,Academic English: Skill-Based,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532359,学術英語・スキルベース,Academic English: Skill-Based,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532360,ドイツ語プラクティクムⅡ,German Practice II,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532361,Japanese: Speaking 2A,Japanese: Speaking 2A,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532362,Japanese: Speaking 2B,Japanese: Speaking 2B,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532363,Japanese: Speaking 3A,Japanese: Speaking 3A,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532364,Japanese: Speaking 3B,Japanese: Speaking 3B,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532365,Japanese: Speaking 4A,Japanese: Speaking 4A,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532366,Japanese: Speaking 4B,Japanese: Speaking 4B,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532367,Japanese: Speaking 5A,Japanese: Speaking 5A,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532368,Japanese: Speaking 5B,Japanese: Speaking 5B,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532369,Japanese: Speaking 6A,Japanese: Speaking 6A,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532370,Japanese: Speaking 6B,Japanese: Speaking 6B,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532371,Japanese: Speaking 7A,Japanese: Speaking 7A,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532372,Japanese: Speaking 7B,Japanese: Speaking 7B,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532380,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24532381,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24532382,健康・スポーツ科学演習,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24532401,Japanese Economy in Transition,Japanese Economy in Transition,,,,015720,オープン科目,2,10,前期,2024,001,基幹教育科目
24532402,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532403,基幹教育セミナー,Kikan-Education Seminar,,,,015100,基幹教育セミナー,1,14,夏学期,2024,001,基幹教育科目
24532441,日本国憲法,The Constitution of Japan,,,,015800,高年次基幹教育科目,2,10,前期,2024,001,基幹教育科目
24532444,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,13,春学期,2024,001,基幹教育科目
24532445,学術英語・テーマベース,Academic English: Theme-Based,,,,015301,言語文化基礎科目,1,14,夏学期,2024,001,基幹教育科目
24532446,学術英語・上級,Academic English: Advanced,,,,015301,言語文化基礎科目,2,10,前期,2024,001,基幹教育科目
24532447,フランス語プラティクⅡ,French Practice II,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532448,中国語実践Ⅱ,Chinese Practice Ⅱ,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532449,ロシア語Ⅲ,Russian Ⅲ,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532450,韓国語Ⅲ,Korean Ⅲ,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532451,スペイン語Ⅲ,Spanish Ⅲ,,,,015301,言語文化基礎科目,1,10,前期,2024,001,基幹教育科目
24532480,健康・スポーツ科学演習（アダプテッドコース）,Laboratory of Health and Sport Science,,,,015600,健康・スポーツ科目,1,10,前期,2024,001,基幹教育科目
24532501,先史学入門,Introduction to Prehistory,,,,015400,文系ディシプリン科目,2,20,後期,2024,001,基幹教育科目
24532502,文学・言語学入門,Introduction to Literature and Linguistics,,,,015400,文系ディシプリン科目,2,20,後期,2024,001,基幹教育科目
24532503,文化人類学入門,Introduction to Anthropology,,,,015400,文系ディシプリン科目,2,20,後期,2024,001,基幹教育科目
24532504,現代教育学入門,Introdution to Contemporary Education,,,,015400,文系ディシプリン科目,1,23,秋学期,2024,001,基幹教育科目
24532505,教育基礎学入門,Introdution to Fundamentals of Educational Studies,,,,015400,文系ディシプリン科目,1,24,冬学期,2024,001,基幹教育科目
24532515,社会と数理科学,Mathematics in the Real World,,,,015500,理系ディシプリン科目,1,23,秋学期,2024,001,基幹教育科目
24532516,身の回りの物理学Ａ,Physics in Daily Life A,,,,015500,理系ディシプリン科目,1,24,冬学期,2024,001,基幹教育科目
24532517,身の回りの物理学Ｂ,Physics in Daily Life B,,,,015500,理系ディシプリン科目,1,23,秋学期,2024,001,基幹教育科目
24532518,電磁気学基礎,Elements of Electromagnetism,,,,015500,理系ディシプリン科目,1,23,秋学期,2024,001,基幹教育科目
24532519,電磁気学基礎,Elements of Electromagnetism,,,,015500,理系ディシプリン科目,1,23,秋学期,2024,001,基幹教育科目
24532520,電磁気学基礎,Elements of Electromagnetism,,,,015500,理系ディシプリン科目,1,23,秋学期,2024,001,基幹教育科目
24532521,熱力学基礎,Elements of Thermodynamics,,,,015500,理系ディシプリン科目,1,24,冬学期,2024,001,基幹教育科目
24532522,熱力学基礎,Elements of Thermodynamics,,,,015500,理系ディシプリン科目,1,24,冬学期,2024,001,基幹教育科目
24532523,熱力学基礎,Elements of Thermodynamics,,,,015500,理系ディシプリン科目,1,24,冬学期,2024,001,基幹教育科目
24532524,基礎化学熱力学Ⅰ,Elementary Chemical thermodynamics Ⅰ,,,,015500,理系ディシプリン科目,1,23,秋学期,2024,001,基幹教育科目
24532525,基礎化学熱力学Ⅱ,Elementary Chemical thermodynamics Ⅱ,,,,015500,理系ディシプリン科目,1,24,冬学期,2024,001,基幹教育科目
24532526,集団生物学,Basic Population Biology,,,,015500,理系ディシプリン科目,2,20,後期,2024,001,基幹教育科目
24532527,デザインアプローチ,Design Approach,,,,015500,理系ディシプリン科目,1,24,冬学期,2024,001,基幹教育科目
24532528,プログラミング演習(P),Computer Programming Exercise,,,,015500,理系ディシプリン科目,1,24,冬学期,2024,001,基幹教育科目
24532529,自然科学総合実験,Natural Science Experiments,,,,015500,理系ディシプリン科目,1,23,秋学期,2024,001,基幹教育科目
24532530,基礎科学実習,Basic Science Experiments,,,,015500,理系ディシプリン科目,1,24,冬学期,2024,001,基幹教育科目
24532531,デザイン思考（読替）,Design Thinking,,,,015500,理系ディシプリン科目,1,24,冬学期,2024,001,基幹教育科目
24532541,科学の基礎（哲学的考察）,Introduction to the Philosophy of Science,,,,015800,高年次基幹教育科目,1,23,秋学期,2024,001,基幹教育科目
24532542,Brain and Mind,Brain and Mind,,,,015800,高年次基幹教育科目,1,23,秋学期,2024,001,基幹教育科目
24532543,統計的機械学習,Statistical machine learning,,,,015800,高年次基幹教育科目,1,23,秋学期,2024,001,基幹教育科目
24532544,Japanese: Integrated 1A,Japanese: Integrated 1A,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532545,Japanese: Integrated 1B,Japanese: Integrated 1B,,,,015301,言語文化基礎科目,1,24,冬学期,2024,001,基幹教育科目
24532546,Japanese: Integrated 2A,Japanese: Integrated 2A,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532547,Japanese: Integrated 2B,Japanese: Integrated 2B,,,,015301,言語文化基礎科目,1,24,冬学期,2024,001,基幹教育科目
24532548,Japanese: Integrated 3A,Japanese: Integrated 3A,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532549,Japanese: Integrated 3B,Japanese: Integrated 3B,,,,015301,言語文化基礎科目,1,24,冬学期,2024,001,基幹教育科目
24532550,Japanese: Integrated 4A,Japanese: Integrated 4A,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532551,Japanese: Integrated 4B,Japanese: Integrated 4B,,,,015301,言語文化基礎科目,1,24,冬学期,2024,001,基幹教育科目
24532558,現代社会Ⅱ,Contemporary Society II,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532559,現代史Ⅱ,Contemporary History II,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532560,現代史Ⅳ,Contemporary History IV,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532561,音楽・音響論,Music and acoustics,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532562,環境問題と自然科学,Natural Science on Environmental Problems,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532563,グリーンケミストリー,Green Chemistry,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532564,自然災害と防災,Natural hazards and disaster management,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532565,ジェンダー論,Theory of Gender,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532566,国際保健と医療,Global health care and medicine,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532567,地球の進化と環境,Evolution and Environment of the Earth,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532568,バイオテクノロジー詳論,Advanced Topics on Biotechnology,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532569,国際社会論,Understanding International Society,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532570,研究と倫理,Academic Research and Ethics,,,,015800,高年次基幹教育科目,1,23,秋学期,2024,001,基幹教育科目
24532571,アントレプレナーシップ・会計/ファイナンス基礎,Basic Entrepreneurship Accounting and Finance,,,,015800,高年次基幹教育科目,1,23,秋学期,2024,001,基幹教育科目
24532572,アントレプレナーシップ・マーケティング基礎,Basic Entrepreneurship Marketing,,,,015800,高年次基幹教育科目,1,24,冬学期,2024,001,基幹教育科目
24532573,統計科学入門Ａ,Introduction to Statistical Science A,,,,015800,高年次基幹教育科目,1,23,秋学期,2024,001,基幹教育科目
24532574,統計科学入門Ｂ,Introduction to Statistical Science B,,,,015800,高年次基幹教育科目,1,24,冬学期,2024,001,基幹教育科目
24532575,社会調査法A,Method of Social Survey A,,,,015800,高年次基幹教育科目,1,23,秋学期,2024,001,基幹教育科目
24532576,社会調査法B,Method of Social Survey B,,,,015800,高年次基幹教育科目,1,24,冬学期,2024,001,基幹教育科目
24532577,教育学特論,Advanced Study of Education,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532578,教育心理学特論（教育・学校心理学）,Advanced Study of Education Psychology（Educational andSchool Psychology）,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532579,日本国憲法,The Constitution of Japan,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532580,身体運動科学実習ⅠＡ,Practice of Exercise and Sport Science ⅠＡ,,,,015600,健康・スポーツ科目,0.5,23,秋学期,2024,001,基幹教育科目
24532581,身体運動科学実習ⅠＢ,Practice of Exercise and Sport Science ⅠＢ,,,,015600,健康・スポーツ科目,0.5,24,冬学期,2024,001,基幹教育科目
24532582,身体運動科学実習ⅡＡ,Practice of Exercise and Sport Science ⅡＡ,,,,015600,健康・スポーツ科目,0.5,23,秋学期,2024,001,基幹教育科目
24532583,身体運動科学実習ⅢＡ,Practice of Exercise and Sport Science ⅢＡ,,,,015600,健康・スポーツ科目,0.5,23,秋学期,2024,001,基幹教育科目
24532584,身体運動科学実習ⅣＡ,Practice of Exercise and Sport Science ⅣＡ,,,,015600,健康・スポーツ科目,0.5,23,秋学期,2024,001,基幹教育科目
24532585,身体運動科学実習ⅡＢ,Practice of Exercise and Sport Science ⅡＢ,,,,015600,健康・スポーツ科目,0.5,24,冬学期,2024,001,基幹教育科目
24532586,身体運動科学実習ⅢＢ,Practice of Exercise and Sport Science ⅢＢ,,,,015600,健康・スポーツ科目,0.5,24,冬学期,2024,001,基幹教育科目
24532587,身体運動科学実習ⅣＢ,Practice of Exercise and Sport Science ⅣＢ,,,,015600,健康・スポーツ科目,0.5,24,冬学期,2024,001,基幹教育科目
24532601,Education in Japanese Society,Education in Japanese Society,,,,015720,オープン科目,2,20,後期,2024,001,基幹教育科目
24532615,電磁気学基礎,Elements of Electromagnetism,,,,015500,理系ディシプリン科目,1,23,秋学期,2024,001,基幹教育科目
24532616,熱力学基礎,Elements of Thermodynamics,,,,015500,理系ディシプリン科目,1,24,冬学期,2024,001,基幹教育科目
24532617,原子核物理学,Nuclear Physics,,,,015500,理系ディシプリン科目,2,20,後期,2024,001,基幹教育科目
24532618,有機物質化学Ⅰ,Elementary Organic ChemistryⅠ,,,,015500,理系ディシプリン科目,1,23,秋学期,2024,001,基幹教育科目
24532619,図形科学Ⅱ,Graphic Science Ⅱ,,,,015500,理系ディシプリン科目,1,23,秋学期,2024,001,基幹教育科目
24532620,図形科学Ⅱ,Graphic Science Ⅱ,,,,015500,理系ディシプリン科目,1,23,秋学期,2024,001,基幹教育科目
24532641,技術と産業・企業,Technological Change and Economic Performance,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532642,クリエイティブ産業と文化政策,Creative Industries and Cultural Policy,,,,015800,高年次基幹教育科目,2,20,後期,2024,001,基幹教育科目
24532644,学術英語・グローバルイシューズ,Academic English: Global Issues,,,,015301,言語文化基礎科目,1,20,後期,2024,001,基幹教育科目
24532645,学術英語・グローバルイシューズ,Academic English: Global Issues,,,,015301,言語文化基礎科目,1,20,後期,2024,001,基幹教育科目
24532646,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532647,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532648,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532649,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532650,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532651,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532652,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532653,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532654,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532655,学術英語・プロダクション１,Academic English: Production 1,,,,015301,言語文化基礎科目,1,23,秋学期,2024,001,基幹教育科目
24532656,学術英語・プロダクション２,Academic English: Production 2,,,,015301,言語文化基礎科目,1,24,冬学期,2024,001,基幹教育科目
24532657,学術英語・プロダクション２,Academic English: Production 2,,,,015301,言語文化基礎科目,1,24,冬学期,2024,001,基幹教育科目
24532658,学術英語・プロダクション２,Academic English: Production 2,,,,015301,言語文化基礎科目,1,24,冬学期,2024,001,基幹教育科目
24532659,学術英語・プロダクション２,Academic English: Production 2,,,,015301,言語文化基礎科目,1,24,冬学期,2024,001,基幹教育科目
24532660,学術英語・プロダクション２,Academic English: Production 2,,,,015301,言語文化基礎科目,1,24,冬学期,2024,001,基幹教育科目
24532661,学術英語・プロダクション２,Academic English: Production 2,,,,015301,言語文化基礎科目,1,24,冬学期,2024,001,基幹教育科目
